"""206914"",",Chase Corporation,Materials,Specialty Chemicals,Chemicals,0.080883538,,,
"""192406"",",Chiho Environmental Group Limited,Materials,Diversified Metals & Mining,Metals & Mining,0,,,
"""193281"",",China BlueChemical Ltd,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0,,,
"""192130"",",China Daye Non-Ferrous Metals Mining Limited,Materials,Copper,Metals & Mining,0,,,
"""244885"",",China Green Agriculture Inc,Materials,Fertilizers & Agricultural Chemicals,Chemicals,-0.406725,,,
"""193361"",",China Hanking Holdings Limited,Materials,Steel,Metals & Mining,0,,,
"""191905"",",China Hongqiao Group Limited,Materials,Aluminum,Metals & Mining,0.169675,,,
"""197846"",","China Molybdenum Co., Ltd",Materials,Diversified Metals & Mining,Metals & Mining,0.073025,,,
"""193607"",",China National Building Material Company Limited,Materials,Construction Materials,Construction Materials,0.94945,,,
"""242957"",",China Natural Resources Inc,Materials,Diversified Metals & Mining,Metals & Mining,0.7000764705882352,,,
"""191623"",",China Nonferrous Mining Corporation Limited,Materials,Diversified Metals & Mining,Metals & Mining,0,,,
"""192198"",",China Oriental Group Company Limited,Materials,Steel,Metals & Mining,0,,,
"""192155"",",China Rare Earth Holdings Limited,Materials,Diversified Metals & Mining,Metals & Mining,0,,,did not add to nb
"""191658"",",China Resources Cement Holdings Limited,Materials,Construction Materials,Construction Materials,0.4588,,,did not add to nb
"""208713"",",China Sanjiang Fine Chemicals Company Limited,Materials,Commodity Chemicals,Chemicals,0,,,did not add to nb
"""192085"",",China Shanshui Cement Group Limited,Materials,Construction Materials,Construction Materials,0,,,did not add to nb
"""200039"",",China Steel Corporation,Materials,Steel,Metals & Mining,-0.018747059,,,did not add to nb
"""193529"",",China XLX Fertiliser Ltd,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0,,,did not add to nb
"""192433"",",Chongqing Iron & Steel Company Limited,Materials,Steel,Metals & Mining,0,,,did not add to nb
"""190075"",",Clearwater Paper Corporation,Materials,Paper Products,Paper & Forest Products,0.3182870056497174,,,
"""204280"",",Cleveland-Cliffs Inc,Materials,Steel,Metals & Mining,0.1100733333333333,,,
"""206823"",","Coeur Mining, Inc",Materials,Silver,Metals & Mining,0.6656500000000001,,,
"""204783"",",Commercial Metals Company,Materials,Steel,Metals & Mining,0.6322051369863008,,,
"""194815"",",Companhia Siderurgica Nacional,Materials,Steel,Metals & Mining,0.3754259259259259,,,
"""240133"",",Compania de Minas Buenaventura SAA ADR,Materials,Gold,Metals & Mining,0,,,
"""204576"",","Compass Minerals International, Inc",Materials,Diversified Metals & Mining,Metals & Mining,-0.003314286,,,
"""207499"",",Comstock Mining Inc,Materials,Gold,Metals & Mining,0.8554986842105258,,,
"""243492"",",Constellium Nv,Materials,Aluminum,Metals & Mining,0.72405,,,
"""245197"",",Contango ORE Inc,Materials,Diversified Metals & Mining,Metals & Mining,0,,,
"""204550"",","Core Molding Technologies, Inc",Materials,Commodity Chemicals,Chemicals,0.1492466666666666,,,
"""205329"",","Corteva, Inc",Materials,Fertilizers & Agricultural Chemicals,Chemicals,0.2441268496087242,,,
"""190348"",",Covestro AG,Materials,Specialty Chemicals,Chemicals,0.37304184,,,
"""246371"",",Croda International PLC,Materials,Specialty Chemicals,Chemicals,0.3526666666666667,,,
"""190777"",",Croda International Plc,Materials,Specialty Chemicals,Chemicals,0.3049243902439024,,,
"""190408"",","Crown Holdings, Inc",Materials,Metal & Glass Containers,Containers & Packaging,0.352781953,,,
"""205154"",",DRDGOLD Limited,Materials,Gold,Metals & Mining,0.0124,,,
"""196389"",",DS Smith Plc,Materials,Paper Packaging,Containers & Packaging,0.2627969001782528,,,
"""192249"",",Da Ming International Holdings Limited,Materials,Steel,Metals & Mining,0,,,
"""245813"",",Danimer Scientific Inc,Materials,Specialty Chemicals,Chemicals,-0.260648289,,,
"""208027"",",Deltic Timber Corporation,Materials,Forest Products,Paper & Forest Products,-0.2732,,,
"""190049"",",Domtar Corporation,Materials,Paper Products,Paper & Forest Products,0.3751104312354305,,,
"""208501"",",Dongguang Chemical Limited,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0,,,
"""192088"",",Dongwu Cement International Limited,Materials,Construction Materials,Construction Materials,0,,,
"""191715"",",Dongyue Group Limited,Materials,Specialty Chemicals,Chemicals,0,,,
"""190188"",",Dow Inc,Materials,Commodity Chemicals,Chemicals,0.2967958699828308,,,
"""190884"",","DuPont de Nemours, Inc",Materials,Diversified Chemicals,Chemicals,0.2213763299232736,,,
"""191614"",",E-Commodities Holdings Limited,Materials,Steel,Metals & Mining,0,,,
"""244188"",",EMX Royalty Corp,Materials,Diversified Metals & Mining,Metals & Mining,0.1702,,,
"""204940"",",Eagle Materials Inc,Materials,Construction Materials,Construction Materials,0.4937,,,
"""190497"",",Eastman Chemical Company,Materials,Diversified Chemicals,Chemicals,0.2532007407407408,,,
"""193671"",",EcoGreen International Group Limited,Materials,Specialty Chemicals,Chemicals,0.9042,,,
"""190826"",",Ecolab Inc,Materials,Specialty Chemicals,Chemicals,0.7131951677489164,,,
"""204843"",",Element Solutions Inc,Materials,Specialty Chemicals,Chemicals,0.5393999999999999,,,
"""196135"",",Elkem ASA,Materials,Specialty Chemicals,Chemicals,0.5483481981981982,,,
"""189874"",",FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0.143825573,,,
"""205849"",",Ferro Corporation,Materials,Specialty Chemicals,Chemicals,-0.223242517,,,
"""204125"",",Ferroglobe PLC,Materials,Diversified Metals & Mining,Metals & Mining,0.206225,,,
"""205748"",",First Quantum Minerals Ltd,Materials,Copper,Metals & Mining,0.343591473,,,
"""205420"",",Flexible Solutions International Inc,Materials,Specialty Chemicals,Chemicals,0.5146030303030303,,,
"""205427"",","Flotek Industries, Inc",Materials,Specialty Chemicals,Chemicals,0.5691300925925932,,,
"""200206"",",Formosa Chemicals & Fibre Corporation,Materials,Commodity Chemicals,Chemicals,-0.802,,,
"""200195"",",Formosa Plastics Corporation,Materials,Commodity Chemicals,Chemicals,-0.062657692,,,
"""205769"",","Forterra, Inc",Materials,Construction Materials,Construction Materials,-0.2719,,,
"""190203"",",Franco-Nevada Corporation,Materials,Gold,Metals & Mining,0.7475999999999999,,,
"""190692"",",Freeport-McMoRan Inc,Materials,Copper,Metals & Mining,-0.000787755,,,
"""205736"",","Friedman Industries, Incorporated",Materials,Steel,Metals & Mining,0,,,
"""191985"",",Fufeng Group Limited,Materials,Diversified Chemicals,Chemicals,0.064583333,,,
"""205715"",",FutureFuel Corp,Materials,Specialty Chemicals,Chemicals,0,,,
"""205543"",",GCP Applied Technologies Inc,Materials,Specialty Chemicals,Chemicals,-0.574293421,,,
"""194032"",",Gaon Group Ltd,Materials,Steel,Metals & Mining,0,,,
"""204003"",","General Moly, Inc",Materials,Diversified Metals & Mining,Metals & Mining,0,,,
"""205495"",",Gerdau S.A,Materials,Steel,Metals & Mining,0.202615873,,,
"""244479"",",Glatfelter,Materials,Paper Products,Paper & Forest Products,0.2886116666666667,,,
